10 339.100006 2862.000000 529.000000 35.370567 41.431572
20 533.400024 1296.000000 4038.000000 10.627254 35.456551
30 553.299988 1296.000000 4237.000000 8.628465 27.705137
40 564.400024 1307.000000 4337.000000 7.632888 22.854277
50 565.200012 1320.000000 4332.000000 7.813988 24.181932
60 556.299988 1270.000000 4293.000000 8.462123 27.330528
70 563.500000 1283.000000 4352.000000 7.783768 24.738527
80 570.200012 1322.000000 4380.000000 7.292746 21.515131
90 570.099976 1324.000000 4377.000000 7.147659 20.756376
100 570.400024 1332.000000 4372.000000 7.332739 21.425499
110 572.099976 1308.000000 4413.000000 7.213551 21.629511
120 571.599976 1319.000000 4397.000000 7.143210 20.795710
130 0 0 0 0 0
140 0 0 0 0 0
150 0 0 0 0 0
160 466.700012 1014.000000 3653.000000 10 25
170 611.000000 1437.000000 4673.000000 2.392021 3.805069
180 633.700012 1460.000000 4877.000000 2.623610 4.986784
190 637.200012 1466.000000 4906.000000 2.223747 3.204203
200 639.799988 1463.000000 4935.000000 2.170294 3.187487
210 636.400024 1467.000000 4897.000000 2.324455 3.893845
220 636.799988 1472.000000 4896.000000 2.231852 3.243514
230 638.599976 1487.000000 4899.000000 2.308527 3.412529
240 637.000000 1484.000000 4886.000000 2.246742 3.432574
250 637.200012 1482.000000 4890.000000 2.243665 3.340426
260 629.799988 1459.000000 4839.000000 2.822612 3.476068
270 616.599976 1420.000000 4746.000000 3.708693 3.638982
280 632.700012 1453.000000 4874.000000 2.688944 5.258257
290 636.299988 1468.000000 4895.000000 2.201117 3.256557
300 637.200012 1468.000000 4904.000000 2.334225 3.472836
