133.800003,1338.000000,0.000000,200.358765,200.358765,-nan
126.400002,1264.000000,0.000000,242.034836,242.034836,-nan
80.500000,805.000000,0.000000,386.311646,386.311646,-nan
692.299988,435.000000,6488.000000,10.672992,136.087341,2.264354
798.099976,380.000000,7601.000000,3.876687,36.153671,2.263051
787.400024,371.000000,7503.000000,4.359002,47.629681,2.219406
792.299988,380.000000,7543.000000,3.995852,39.664898,2.198921
802.099976,382.000000,7639.000000,3.648909,31.951674,2.233588
784.000000,373.000000,7467.000000,4.441899,48.519432,2.240077
804.900024,380.000000,7669.000000,3.572716,32.323578,2.148105
797.500000,385.000000,7590.000000,3.689680,34.245468,2.139743
795.599976,380.000000,7576.000000,3.928801,36.351982,2.302499
802.099976,382.000000,7639.000000,3.630618,30.897917,2.267081
803.000000,383.000000,7647.000000,3.436489,27.982527,2.207096
789.900024,375.000000,7524.000000,4.182267,42.669106,2.264064
803.299988,385.000000,7648.000000,3.586302,30.799274,2.216410
801.400024,381.000000,7633.000000,3.582092,29.961065,2.265389
793.400024,373.000000,7561.000000,4.067721,41.729557,2.209792
803.900024,383.000000,7656.000000,3.534548,30.526360,2.184242
800.000000,383.000000,7617.000000,3.620217,30.506042,2.268327
798.000000,382.000000,7598.000000,3.789837,31.646715,2.389298
799.799988,385.000000,7613.000000,3.781070,34.673611,2.218792
797.299988,374.000000,7599.000000,3.643520,31.151417,2.289664
799.099976,379.000000,7612.000000,3.706111,32.261528,2.284325
801.500000,377.000000,7638.000000,3.546977,29.608910,2.260600
800.099976,384.000000,7617.000000,3.673689,34.205784,2.134470
797.599976,384.000000,7592.000000,3.941993,36.836891,2.278183
801.200012,385.000000,7627.000000,3.600829,31.391356,2.197991
798.200012,374.000000,7608.000000,3.886781,36.472549,2.284904
792.700012,381.000000,7546.000000,3.802792,35.135780,2.220779
#MaxThreads,bucketSize,ExecutionTime,#Reads,#Writes,readResponseTime,writeResponseTime,readTpt,writeTpt,AvgRequestLatency,AvgThroughput,Write%
35,100,300.000000,204497,13725,2238.613701,93841.186667,681.656667,45.750000,0.008000,727.406667,6.289467
85.500000,855.000000,0.000000,518.999329,518.999329,-nan
80.000000,800.000000,0.000000,582.431885,582.431885,-nan
80.000000,800.000000,0.000000,582.380249,582.380249,-nan
80.000000,800.000000,0.000000,615.443237,615.443237,-nan
70.000000,700.000000,0.000000,657.217468,657.217468,-nan
70.000000,700.000000,0.000000,657.832581,657.832581,-nan
576.200012,625.000000,5137.000000,48.236008,425.937836,2.282405
1099.199951,526.000000,10466.000000,5.655496,75.332115,2.153697
1132.500000,534.000000,10791.000000,4.097128,42.678627,2.187899
1148.599976,548.000000,10938.000000,3.556208,34.134918,2.024198
1047.199951,494.000000,9978.000000,7.243057,109.093468,2.200554
922.799988,439.000000,8789.000000,14.082618,251.863235,2.205760
1053.800049,506.000000,10032.000000,7.688063,115.539314,2.248190
1101.900024,529.000000,10490.000000,5.426276,54.014465,2.976018
1143.800049,546.000000,10892.000000,3.572463,32.152664,2.139775
1147.000000,547.000000,10923.000000,3.531193,30.429705,2.184176
1098.800049,519.000000,10469.000000,5.412212,52.256451,3.089904
1145.300049,545.000000,10908.000000,3.681170,34.584015,2.137149
1136.900024,539.000000,10830.000000,3.857684,39.141724,2.101624
1119.800049,540.000000,10658.000000,4.972306,59.067196,2.231510
1132.000000,534.000000,10786.000000,3.748170,36.786942,2.112475
1140.199951,544.000000,10858.000000,3.792224,38.001926,2.078271
1108.900024,530.000000,10559.000000,5.004991,47.516376,2.871168
1141.500000,539.000000,10876.000000,3.750888,36.172485,2.144105
1139.500000,544.000000,10851.000000,3.871531,38.175636,2.151730
1091.800049,523.000000,10395.000000,5.628793,61.773632,2.803992
1137.000000,541.000000,10829.000000,3.860631,38.945045,2.107853
1139.800049,539.000000,10859.000000,3.793265,36.887768,2.150566
1112.099976,535.000000,10586.000000,4.953532,59.044422,2.219860
1138.900024,542.000000,10847.000000,3.813918,37.886967,2.111347
50,100,300.000000,249216,17464,2285.304864,214821.720167,830.720000,58.213333,0.016204,888.933333,6.548673
66.300003,663.000000,0.000000,391.313080,391.313080,-nan
69.000000,690.000000,0.000000,394.119659,394.119659,-nan
69.000000,690.000000,0.000000,405.090576,405.090576,-nan
69.000000,690.000000,0.000000,389.149292,389.149292,-nan
414.600006,468.000000,3678.000000,32.017078,265.588745,2.296702
672.099976,313.000000,6408.000000,4.395641,45.963173,2.365261
673.700012,324.000000,6413.000000,4.657108,45.416943,2.597841
681.400024,327.000000,6487.000000,3.946368,38.127575,2.223343
673.799988,317.000000,6421.000000,4.350409,44.322903,2.376989
683.299988,326.000000,6507.000000,3.957595,37.964966,2.253834
679.700012,326.000000,6471.000000,3.959343,38.525719,2.217947
670.000000,317.000000,6383.000000,4.610813,50.945126,2.309702
684.500000,325.000000,6520.000000,3.865701,36.758389,2.226102
684.799988,328.000000,6520.000000,3.749107,34.305889,2.211884
671.700012,318.000000,6399.000000,4.345832,47.383980,2.207032
683.299988,327.000000,6506.000000,3.987401,39.273987,2.213836
679.799988,327.000000,6471.000000,4.073446,38.921852,2.312449
671.700012,314.000000,6403.000000,4.450494,50.543186,2.190130
682.599976,326.000000,6500.000000,4.037395,41.464073,2.160306
679.500000,327.000000,6468.000000,4.019388,40.592289,2.170389
673.599976,319.000000,6417.000000,4.415499,48.730865,2.212499
685.700012,325.000000,6532.000000,3.794806,37.022583,2.141573
682.799988,328.000000,6500.000000,3.819793,36.680443,2.161589
677.200012,321.000000,6451.000000,4.367904,48.235878,2.185036
